entry_date,exit_date,entry_price,exit_price,quantity,side,pnl,exit_reason
2024-09-02,2024-10-03,1083.39,1027.29,10,BUY,-561.0000000000014,STOP_LOSS
2025-01-15,2025-01-20,906.55,922.09,10,BUY,155.40000000000077,SIGNAL
2025-03-11,2025-04-18,950.75,902.74,10,BUY,-480.0999999999999,STOP_LOSS
2025-05-12,2025-05-21,967.02,910.78,10,BUY,-562.4000000000001,STOP_LOSS
2025-07-15,2025-08-15,943.83,878.86,10,BUY,-649.7000000000003,STOP_LOSS
2025-09-04,2025-11-27,972.27,1075.87,10,BUY,1035.999999999999,TAKE_PROFIT
2026-03-24,2026-04-03,1031.44,977.87,10,BUY,-535.7000000000005,STOP_LOSS
